Name,Value,Byte Offset,Type
cb0_v0,"1.96261, 5.20092E-08, 0.00, -2.81861E-07",0,float4
cb0_v1,"-5.53934E-07, 0.15219, 0.00, -0.99905",16,float4
cb0_v2,"-5.09777E-09, 3.48576, 0.00, 0.04362",32,float4
cb0_v3,"0.00, 0.00, 10.00, 0.00",48,float4
cb0_v4,"1.96261, 5.20092E-08, 0.00, -2.81861E-07",64,float4
cb0_v5,"-5.53934E-07, 0.15219, 0.00, -0.99905",80,float4
cb0_v6,"-5.09777E-09, 3.48576, 0.00, 0.04362",96,float4
cb0_v7,"0.0003, -453.14944, 10.00, 534.84393",112,float4
cb0_v8,"1.00, 1.49063E-08, -2.81861E-07, 0.00",128,float4
cb0_v9,"-2.82243E-07, 0.04362, -0.99905, 0.00",144,float4
cb0_v10,"-2.59744E-09, 0.99905, 0.04362, 0.00",160,float4
cb0_v11,"0.00, 0.00, 0.00, 1.00",176,float4
cb0_v12,"1.00, -2.82243E-07, -2.59744E-09, 0.00",192,float4
cb0_v13,"1.49063E-08, 0.04362, 0.99905, 0.00",208,float4
cb0_v14,"-2.81861E-07, -0.99905, 0.04362, 0.00",224,float4
cb0_v15,"0.00, 0.00, 0.00, 1.00",240,float4
cb0_v16,"1.00, 1.49063E-08, -2.81861E-07, 0.00",256,float4
cb0_v17,"-2.82243E-07, 0.04362, -0.99905, 0.00",272,float4
cb0_v18,"-2.59744E-09, 0.99905, 0.04362, 0.00",288,float4
cb0_v19,"0.00, 0.00, 0.00, 1.00",304,float4
cb0_v20,"1.00, -2.82243E-07, -2.59744E-09, 0.00",320,float4
cb0_v21,"1.49063E-08, 0.04362, 0.99905, 0.00",336,float4
cb0_v22,"-2.81861E-07, -0.99905, 0.04362, 0.00",352,float4
cb0_v23,"0.00, 0.00, 0.00, 1.00",368,float4
cb0_v24,"1.96261, 0.00, 0.00, 0.00",384,float4
cb0_v25,"0.00, 3.48909, 0.00, 0.00",400,float4
cb0_v26,"0.00, 0.00, 0.00, 1.00",416,float4
cb0_v27,"0.00, 0.00, 10.00, 0.00",432,float4
cb0_v28,"1.96261, 0.00, 0.00, 0.00",448,float4
cb0_v29,"0.00, 3.48909, 0.00, 0.00",464,float4
cb0_v30,"0.00, 0.00, 0.00, 1.00",480,float4
cb0_v31,"0.00, 0.00, 10.00, 0.00",496,float4
cb0_v32,"0.50953, 0.00, 0.00, 0.00",512,float4
cb0_v33,"0.00, 0.28661, 0.00, 0.00",528,float4
cb0_v34,"0.00, 0.00, 0.00, 0.10",544,float4
cb0_v35,"0.00, 0.00, 1.00, 0.00",560,float4
cb0_v36,"0.50953, -1.43810E-07, -1.32346E-09, 0.00",576,float4
cb0_v37,"4.27225E-09, 0.0125, 0.28634, 0.00",592,float4
cb0_v38,"0.00, 0.00, 0.00, 0.10",608,float4
cb0_v39,"-2.81861E-07, -0.99905, 0.04362, 0.00",624,float4
cb0_v40,"0.00053, -1.49802E-10, -1.37861E-12, 0.00",640,float4
cb0_v41,"-7.91158E-12, -0.00002, -0.00053, 0.00",656,float4
cb0_v42,"0.00, 0.00, 0.00, 0.10",672,float4
cb0_v43,"-0.50953, -0.98655, 0.32995, 0.00",688,float4
cb0_v44,"0.50953, -1.43810E-07, -1.32346E-09, 0.00",704,float4
cb0_v45,"4.27225E-09, 0.0125, 0.28634, 0.00",720,float4
cb0_v46,"-2.81861E-07, -0.99905, 0.04362, 0.00",736,float4
cb0_v47,"0.00, 540.00, 106.4231, 1.00",752,float4
cb0_v48,"0.50953, -1.43810E-07, -1.32346E-09, 0.00",768,float4
cb0_v49,"4.27225E-09, 0.0125, 0.28634, 0.00",784,float4
cb0_v50,"-2.81861E-07, -0.99905, 0.04362, 0.00",800,float4
cb0_v51,"0.00, 0.00, 0.00, 1.00",816,float4
cb0_v52,"-2.81861E-07, -0.99905, 0.04362, 0.00",832,float4
cb0_v53,"1.49063E-08, 0.04362, 0.99905, 0.00",848,float4
cb0_v54,"1.00, -2.82243E-07, -2.59744E-09, 0.00",864,float4
cb0_v55,"1.49063E-08, 0.04362, 0.99905, 0.00",880,float4
cb0_v56,"1.00, -2.82243E-07, -2.59744E-09, 0.00",896,float4
cb0_v57,"0.00, 0.00, 0.10, -1.00000E-08",912,float4
cb0_v58,"0.50, -0.50, 0.50, 0.50",928,float4
cb0_v59,"0.00, 540.00, 106.4231, 0.00",944,float4
