Name,Value,Byte Offset,Type
cb0_v60,"0.00, 0.00, 0.00, 0.00",960,float4
cb0_v61,"0.00, 540.00, 106.4231, 0.00",976,float4
cb0_v62,"0.00, -540.00, -106.4231, 0.00",992,float4
cb0_v63,"1.96261, 0.00, 0.00, 0.00",1008,float4
cb0_v64,"0.00, 3.48909, 0.00, 0.00",1024,float4
cb0_v65,"0.00, 0.00, 0.00, 1.00",1040,float4
cb0_v66,"0.00, 0.00, 10.00, 0.00",1056,float4
cb0_v67,"1.96261, 5.20092E-08, 0.00, -2.81861E-07",1072,float4
cb0_v68,"-5.53934E-07, 0.15219, 0.00, -0.99905",1088,float4
cb0_v69,"-5.09777E-09, 3.48576, 0.00, 0.04362",1104,float4
cb0_v70,"0.0003, -453.14944, 10.00, 534.84393",1120,float4
cb0_v71,"1.96261, 5.20092E-08, 0.00, -2.81861E-07",1136,float4
cb0_v72,"-5.53934E-07, 0.15219, 0.00, -0.99905",1152,float4
cb0_v73,"-5.09777E-09, 3.48576, 0.00, 0.04362",1168,float4
cb0_v74,"0.00, 0.00, 10.00, 0.00",1184,float4
cb0_v75,"1.96261, 0.00, 0.00, 0.00",1200,float4
cb0_v76,"0.00, 3.48909, 0.00, 0.00",1216,float4
cb0_v77,"0.00, 0.00, 0.00, 1.00",1232,float4
cb0_v78,"0.00, 0.00, 10.00, 0.00",1248,float4
cb0_v79,"0.50953, 0.00, 0.00, 0.00",1264,float4
cb0_v80,"0.00, 0.28661, 0.00, 0.00",1280,float4
cb0_v81,"0.00, 0.00, 0.00, 0.10",1296,float4
cb0_v82,"0.00, 0.00, 1.00, 0.00",1312,float4
cb0_v83,"1.96261, 5.20092E-08, 0.00, -2.81861E-07",1328,float4
cb0_v84,"-5.53934E-07, 0.15219, 0.00, -0.99905",1344,float4
cb0_v85,"-5.09777E-09, 3.48576, 0.00, 0.04362",1360,float4
cb0_v86,"0.00, 0.00, 10.00, 0.00",1376,float4
cb0_v87,"1.00, 1.49063E-08, -2.81861E-07, 0.00",1392,float4
cb0_v88,"-2.82243E-07, 0.04362, -0.99905, 0.00",1408,float4
cb0_v89,"-2.59744E-09, 0.99905, 0.04362, 0.00",1424,float4
cb0_v90,"0.00, 0.00, 0.00, 1.00",1440,float4
cb0_v91,"1.00, -2.82243E-07, -2.59744E-09, 0.00",1456,float4
cb0_v92,"1.49063E-08, 0.04362, 0.99905, 0.00",1472,float4
cb0_v93,"-2.81861E-07, -0.99905, 0.04362, 0.00",1488,float4
cb0_v94,"0.00, 0.00, 0.00, 1.00",1504,float4
cb0_v95,"1.00, 1.49063E-08, -2.81861E-07, 0.00",1520,float4
cb0_v96,"-2.82243E-07, 0.04362, -0.99905, 0.00",1536,float4
cb0_v97,"-2.59744E-09, 0.99905, 0.04362, 0.00",1552,float4
cb0_v98,"0.00, 0.00, 0.00, 1.00",1568,float4
cb0_v99,"1.00, -2.82243E-07, -2.59744E-09, 0.00",1584,float4
cb0_v100,"1.49063E-08, 0.04362, 0.99905, 0.00",1600,float4
cb0_v101,"-2.81861E-07, -0.99905, 0.04362, 0.00",1616,float4
cb0_v102,"0.00, 0.00, 0.00, 1.00",1632,float4
cb0_v103,"0.00, 540.00, 106.4231, 0.00",1648,float4
cb0_v104,"0.00, 540.00, 106.4231, 0.00",1664,float4
cb0_v105,"0.00, -540.00, -106.4231, 0.00",1680,float4
cb0_v106,"0.50953, -1.43810E-07, -1.32346E-09, 0.00",1696,float4
cb0_v107,"4.27225E-09, 0.0125, 0.28634, 0.00",1712,float4
cb0_v108,"0.00, 54.00, 10.64231, 0.10",1728,float4
cb0_v109,"-2.81861E-07, -0.99905, 0.04362, 0.00",1744,float4
cb0_v110,"0.50953, -1.43810E-07, -1.32346E-09, 0.00",1760,float4
cb0_v111,"4.27225E-09, 0.0125, 0.28634, 0.00",1776,float4
cb0_v112,"-2.81861E-07, -0.99905, 0.04362, 0.00",1792,float4
cb0_v113,"0.00, 0.00, 0.00, 1.00",1808,float4
cb0_v114,"1.00, 3.99680E-15, 0.00, -4.20150E-15",1824,float4
cb0_v115,"2.22045E-16, 1.00, 0.00, 0.00",1840,float4
cb0_v116,"0.00, 0.00, 1.00, 0.00",1856,float4
cb0_v117,"9.74221E-15, 1.49012E-08, 0.00, 1.00",1872,float4
cb0_v118,"0.00, 0.00, 0.00, 0.00",1888,float4
cb0_v119,"0.00, 0.00, 0.00, 0.00",1904,float4
cb0_v120,"0.94248, 0.55825, 0.94248, 0.55825",1920,float4
cb0_v121,"0.00, 0.00, 0.00, 0.00",1936,float4
cb0_v122,"1920.00, 1080.00, 0.00052, 0.00093",1952,float4
cb0_v123,"1920.00, 1080.00, 0.00052, 0.00093",1968,float4
cb0_v124,"0.00026, 0.00046, 0.99974, 0.99954",1984,float4
cb0_v125,"1.40130E-45, 1.00, 1.00, 0.00",2000,float4
cb0_v126,"0.00, 0.00, 0.00, 1.00",2016,float4
cb0_v127,"0.00, 0.00, 0.00, 1.00",2032,float4
cb0_v128,"0.00, 0.00, 0.00, 1.00",2048,float4
cb0_v129,"0.00, 1.00, 2.01666, 2.01666",2064,float4
cb0_v130,"0.00, 0.00, 0.00, 0.00",2080,float4
cb0_v131,"0.00, 0.00, 0.00, 1.00",2096,float4
cb0_v132,"10.00, 192.29576, 2.03333, 2.03333",2112,float4
cb0_v133,"0.00, 1.00, 1.07438E-41, 1.72360E-43",2128,float4
