Name,Value,Byte Offset,Type
cb2_v0,"0.00, 0.00, 0.00, 1.00",0,float4
cb2_v1,"0.00, 0.00, 0.00, 0.00",16,float4
cb2_v2,"0.00, 0.00, 0.00, 0.00",32,float4
cb2_v3,"0.50, 0.50, 0.50, 1.00",48,float4
cb2_v4,"0.50, 0.50, 0.50, 0.00",64,float4
cb2_v5,"0.00, 0.00, 0.00, 0.0001",80,float4
cb2_v6,"0.00, 0.00, 0.00, 0.00",96,float4
cb2_v7,"1.00, 0.00, 0.00, 0.0001",112,float4
cb2_v8,"1.00, 0.00, 0.00, 0.00",128,float4
cb2_v9,"0.50, 0.50, 0.50, 0.00",144,float4
cb2_v10,"0.50, 0.50, 0.50, 0.00",160,float4
cb2_v11,"0.00, 0.00, 0.00, 0.00",176,float4
cb2_v12,"0.00, 0.00, 0.00, 0.00",192,float4
cb2_v13,"0.00, 0.00, 0.00, 1.00",208,float4
cb2_v14,"0.00, 0.00, 0.00, 0.00",224,float4
cb2_v15,"0.50, 0.50, 0.50, 1.00",240,float4
cb2_v16,"0.50, 0.50, 0.50, 0.00",256,float4
cb2_v17,"0.50, 0.50, 0.50, 0.00",272,float4
cb2_v18,"0.50, 0.50, 0.50, 0.00",288,float4
cb2_v19,"0.33884, 0.88272, 0.32557, 0.00",304,float4
cb2_v20,"0.33884, 0.88272, 0.32557, 0.00",320,float4
cb2_v21,"0.00, 0.00, 0.00, 1.00",336,float4
cb2_v22,"0.00, 0.00, 0.00, 0.00",352,float4
cb2_v23,"1.00, 1.00, 1.00, 1.00",368,float4
cb2_v24,"1.00, 1.00, 1.00, 0.00",384,float4
cb2_v25,"1.00, 1.00, 1.00, 0.00",400,float4
cb2_v26,"1.00, 1.00, 1.00, 0.00",416,float4
cb2_v27,"0.00, 0.00, 0.00, 0.00",432,float4
cb2_v28,"0.00, 0.00, 0.00, 0.00",448,float4
cb2_v29,"0.00, 0.00, 0.00, 0.00",464,float4
cb2_v30,"0.00, 0.00, 0.00, 0.00",480,float4
cb2_v31,"1.00, 1.00, 1.00, 0.00",496,float4
cb2_v32,"1.00, 1.00, 1.00, 0.00",512,float4
cb2_v33,"0.00, 0.00, 0.00, 0.00",528,float4
cb2_v34,"0.00, 0.0001, 0.0001, 0.00",544,float4
cb2_v35,"1.00, 1.00, 1.00, 0.00",560,float4
cb2_v36,"0.00, 0.70, 0.00, 1.00",576,float4
