Name,Value,Byte Offset,Type
cb0_v94,"0.00, 0.00, 10.00, 0.00",1504,float4
cb0_v95,"0.00, 0.2759, 0.96118, 0.00",1520,float4
cb0_v96,"1.00, 0.00, 0.00, 0.00",1536,float4
cb0_v97,"0.00, 0.96118, -0.27591, 0.00",1552,float4
cb0_v98,"0.00, 0.00, 0.00, 1.00",1568,float4
cb0_v99,"0.00, 1.00, 0.00, 0.00",1584,float4
cb0_v100,"0.2759, 0.00, 0.96118, 0.00",1600,float4
cb0_v101,"0.96118, 0.00, -0.27591, 0.00",1616,float4
cb0_v102,"0.00, 0.00, 0.00, 1.00",1632,float4
cb0_v103,"0.00, 0.2759, 0.96118, 0.00",1648,float4
cb0_v104,"1.00, 0.00, 0.00, 0.00",1664,float4
cb0_v105,"0.00, 0.96118, -0.27591, 0.00",1680,float4
cb0_v106,"0.00, 0.00, 0.00, 1.00",1696,float4
cb0_v107,"0.00, 1.00, 0.00, 0.00",1712,float4
cb0_v108,"0.2759, 0.00, 0.96118, 0.00",1728,float4
cb0_v109,"0.96118, 0.00, -0.27591, 0.00",1744,float4
cb0_v110,"0.00, 0.00, 0.00, 1.00",1760,float4
cb0_v111,"-6404.14453, 1693.61096, 597.15002, 0.00",1776,float4
cb0_v112,"-6404.14453, 1693.61096, 597.15002, 0.00",1792,float4
cb0_v113,"6404.14453, -1693.61096, -597.15002, 0.00",1808,float4
cb0_v114,"0.00, 0.36393, 0.00, 0.00",1824,float4
cb0_v115,"0.05648, 0.00, 0.19677, 0.00",1840,float4
cb0_v116,"-640.41449, 169.3611, 59.715, 0.10",1856,float4
cb0_v117,"0.96118, 0.00, -0.27591, 0.00",1872,float4
cb0_v118,"0.00, 0.36393, 0.00, 0.00",1888,float4
cb0_v119,"0.05648, 0.00, 0.19677, 0.00",1904,float4
cb0_v120,"0.96118, 0.00, -0.27591, 0.00",1920,float4
cb0_v121,"0.00, 0.00, 0.00, 1.00",1936,float4
cb0_v122,"1.00, 0.00, 0.00, 0.00",1952,float4
cb0_v123,"0.00, 1.00, 0.00, 0.00",1968,float4
cb0_v124,"0.00, 0.00, 1.00, 0.00",1984,float4
cb0_v125,"0.00, 0.00, 0.00, 1.00",2000,float4
cb0_v126,"0.00, 0.00, 0.00, 0.00",2016,float4
cb0_v127,"0.00, 0.00, 0.00, 0.00",2032,float4
cb0_v128,"0.69806, 0.40384, 0.69806, 0.40384",2048,float4
cb0_v129,"0.00, 0.00, 0.00, 0.00",2064,float4
cb0_v130,"1280.00, 720.00, 0.00078, 0.00139",2080,float4
cb0_v131,"1.00, 1.00, 1.00, 1.00",2096,float4
cb0_v132,"1280.00, 720.00, 0.00078, 0.00139",2112,float4
cb0_v133,"0.00039, 0.00069, 0.99961, 0.99931",2128,float4
cb0_v134,"0.72786, -0.40942, -0.36393, 0.20471",2144,float4
cb0_v135,"1.40130E-45, 5.48551, 0.1823, 0.00",2160,float4
cb0_v136,"0.00, 0.00, 0.00, 1.00",2176,float4
cb0_v137,"0.00, 0.00, 0.00, 1.00",2192,float4
cb0_v138,"0.00, 0.00, 0.00, 1.00",2208,float4
cb0_v139,"0.00, 1.00, 75.2591, 76.86456",2224,float4
cb0_v140,"0.00, 0.00, 0.00, 0.00",2240,float4
