Name,Value,Byte Offset,Type
cb1_v0,"0.00, 0.00, 0.00, 0.00",0,float4
cb1_v1,"0.00, 0.00, 0.00, 0.00",16,float4
cb1_v2,"1.00, 1.40130E-45, 2.80260E-45, 6.71222E-43",32,float4
cb1_v3,"-1060.00, 2005.00, 5.00, 0.002",48,float4
cb1_v4,"5.00, 5.00, 4.03476, 2.00",64,float4
cb1_v5,"-0.76605, 0.00, 0.64278, 0.00",80,float4
cb1_v6,"0.64278, 0.00, 0.76605, 0.00",96,float4
cb1_v7,"0.86603, 12.71875, 0.00, 0.00",112,float4
